Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DAL,3-1,1,38.3%,1,38.3%,3,52.3%,2,28.3%
WAS,3-1,2,27.2%,2,27.2%,1,56.9%,7,8.0%
NYG,3-0,3,25.9%,3,25.9%,6,35.5%,3,23.2%
DEN,3-1,4,25.9%,4,25.9%,5,38.2%,4,19.8%
SD,2-2,5,24.2%,5,24.2%,2,52.9%,17,-1.9%
NO,2-2,6,14.6%,6,14.6%,4,41.3%,20,-5.6%
ATL,2-2,7,9.4%,7,9.4%,18,-0.2%,1,29.6%
BUF,4-0,8,8.8%,8,8.8%,11,19.7%,15,-1.2%
ARI,2-2,9,8.7%,9,8.7%,7,26.9%,19,-4.5%
JAX,2-2,10,8.2%,10,8.2%,12,19.3%,18,-2.8%
PHI,2-2,11,6.4%,11,6.4%,8,23.9%,22,-6.8%
MIA,1-2,12,3.7%,12,3.7%,9,22.2%,28,-13.5%
BAL,2-1,13,2.0%,13,2.0%,23,-6.1%,5,12.2%
NYJ,2-2,14,1.0%,14,1.0%,13,13.5%,21,-6.4%
TEN,4-0,15,-0.2%,15,-0.2%,20,-2.2%,8,7.9%
CAR,3-1,16,-0.4%,16,-0.4%,10,21.5%,9,7.2%
MIN,1-3,17,-1.1%,17,-1.1%,17,0.7%,11,4.3%
SEA,1-2,18,-2.4%,18,-2.4%,22,-4.5%,6,9.4%
TB,3-1,19,-3.6%,19,-3.6%,19,-1.9%,12,4.1%
IND,1-2,20,-4.1%,20,-4.1%,15,2.7%,16,-1.5%
SF,2-2,21,-6.6%,21,-6.6%,21,-4.2%,14,0.6%
CHI,2-2,22,-7.7%,22,-7.7%,25,-6.6%,10,4.7%
NE,2-1,23,-8.7%,23,-8.7%,26,-10.1%,13,0.6%
HOU,0-3,24,-9.0%,24,-9.0%,16,2.0%,30,-18.6%
GB,2-2,25,-9.9%,25,-9.9%,14,9.4%,31,-21.1%
PIT,3-1,26,-12.4%,26,-12.4%,24,-6.2%,23,-7.7%
OAK,1-3,27,-15.3%,27,-15.3%,27,-11.7%,24,-9.7%
DET,0-3,28,-22.1%,28,-22.1%,28,-16.5%,26,-12.7%
STL,0-4,29,-27.3%,29,-27.3%,31,-27.3%,27,-13.2%
KC,1-3,30,-29.0%,30,-29.0%,32,-40.9%,25,-12.0%
CLE,1-3,31,-29.8%,31,-29.8%,30,-26.2%,29,-17.1%
CIN,0-4,32,-30.5%,32,-30.5%,29,-16.8%,32,-40.0%
