Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
GB,4-2,1,-23.1%,1,-23.2%,2,-26.0%,11,-20.0%
DEN,6-0,2,-21.7%,2,-22.0%,5,-14.9%,2,-30.7%
ARI,4-2,3,-21.5%,3,-21.3%,9,-11.9%,1,-37.4%
PHI,4-2,4,-21.5%,4,-21.0%,3,-20.0%,4,-23.5%
NO,6-0,5,-19.1%,5,-19.0%,1,-29.5%,24,-4.5%
NYJ,4-3,6,-12.8%,7,-12.2%,4,-16.8%,20,-8.1%
IND,6-0,7,-12.1%,6,-12.6%,6,-14.7%,19,-8.2%
NYG,5-2,8,-11.5%,8,-11.6%,7,-14.3%,18,-8.2%
NE,5-2,9,-9.1%,9,-9.6%,10,-1.8%,13,-18.1%
MIN,6-1,10,-8.5%,10,-8.4%,13,1.7%,5,-23.2%
BAL,3-3,11,-8.0%,11,-7.9%,15,4.2%,6,-23.1%
SF,3-3,12,-7.9%,12,-7.7%,12,1.0%,9,-21.0%
WAS,2-5,13,-4.6%,13,-4.6%,20,11.3%,8,-21.7%
BUF,3-4,14,-4.3%,14,-4.5%,8,-13.8%,28,5.2%
MIA,2-4,15,-0.7%,15,-1.3%,14,3.4%,23,-6.0%
ATL,4-2,16,-0.4%,17,-0.3%,21,12.8%,10,-20.3%
CAR,2-4,17,0.0%,16,-0.3%,11,-1.4%,26,1.4%
PIT,5-2,18,0.4%,18,0.2%,19,11.1%,12,-19.4%
SEA,2-4,19,1.5%,19,1.4%,18,10.7%,16,-11.2%
CHI,3-3,20,3.1%,20,3.5%,24,15.6%,15,-12.9%
CIN,5-2,21,4.6%,22,4.9%,23,14.6%,17,-10.2%
DAL,4-2,22,5.4%,21,4.5%,22,13.7%,22,-6.2%
SD,3-3,23,7.6%,23,7.2%,17,10.0%,29,5.4%
OAK,2-5,24,7.8%,24,7.8%,16,8.8%,30,6.9%
JAX,3-3,25,10.9%,26,11.1%,29,36.6%,3,-25.0%
HOU,4-3,26,11.2%,25,10.9%,25,23.7%,21,-6.4%
KC,1-6,27,11.7%,27,11.6%,26,23.8%,25,-2.1%
DET,1-5,28,16.4%,28,16.4%,30,37.0%,14,-15.0%
CLE,1-6,29,21.2%,29,21.2%,27,32.3%,32,10.7%
STL,0-7,30,21.3%,30,21.3%,28,36.5%,27,4.8%
TEN,0-6,31,21.9%,31,22.7%,32,50.7%,7,-21.7%
TB,0-7,32,24.4%,32,23.9%,31,42.7%,31,9.6%
