Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,2-0,1,69.8%,1,69.8%,2,46.9%,2,46.9%,8,-12.4%,8,-12.4%,1,10.5%,1,10.5%
SEA,2-0,2,45.8%,2,45.8%,13,6.1%,13,6.1%,2,-31.5%,2,-31.5%,2,8.2%,2,8.2%
KC,2-0,3,44.0%,3,44.0%,12,9.3%,12,9.3%,1,-36.5%,1,-36.5%,18,-1.8%,18,-1.8%
MIA,2-0,4,28.9%,4,28.9%,9,12.5%,9,12.5%,11,-10.5%,11,-10.5%,6,5.9%,6,5.9%
GB,1-1,5,27.2%,5,27.2%,1,64.2%,1,64.2%,31,35.2%,31,35.2%,18,-1.8%,18,-1.8%
CHI,2-0,6,23.6%,6,23.6%,7,14.4%,7,14.4%,13,-5.9%,13,-5.9%,10,3.3%,10,3.3%
PHI,1-1,7,22.2%,7,22.2%,3,40.3%,3,40.3%,29,24.5%,29,24.5%,5,6.4%,5,6.4%
BUF,1-1,8,19.6%,8,19.6%,10,9.7%,10,9.7%,12,-9.0%,12,-9.0%,14,0.9%,14,0.9%
ATL,1-1,9,14.5%,9,14.5%,8,12.8%,8,12.8%,20,3.3%,20,3.3%,7,5.0%,7,5.0%
IND,1-1,10,12.7%,10,12.7%,4,25.6%,4,25.6%,26,10.9%,26,10.9%,20,-2.1%,20,-2.1%
STL,1-1,11,9.2%,11,9.2%,15,4.2%,15,4.2%,18,2.8%,18,2.8%,3,7.7%,3,7.7%
CIN,1-1,12,9.0%,12,9.0%,11,9.7%,11,9.7%,17,1.9%,17,1.9%,13,1.3%,13,1.3%
NE,2-0,13,8.7%,13,8.7%,27,-18.1%,27,-18.1%,4,-23.4%,4,-23.4%,8,3.4%,8,3.4%
NO,2-0,14,8.5%,14,8.5%,19,-3.6%,19,-3.6%,7,-14.5%,7,-14.5%,21,-2.4%,21,-2.4%
DET,1-1,15,3.5%,15,3.5%,14,4.9%,14,4.9%,10,-12.0%,10,-12.0%,30,-13.4%,30,-13.4%
HOU,2-0,16,2.2%,16,2.2%,16,3.7%,16,3.7%,9,-12.3%,9,-12.3%,31,-13.8%,31,-13.8%
TEN,1-1,17,1.7%,17,1.7%,26,-17.4%,26,-17.4%,6,-19.8%,6,-19.8%,16,-0.7%,16,-0.7%
SD,1-1,18,-5.8%,18,-5.8%,5,24.1%,5,24.1%,30,29.3%,30,29.3%,15,-0.5%,15,-0.5%
DAL,1-1,19,-8.4%,19,-8.4%,24,-14.9%,24,-14.9%,16,0.5%,16,0.5%,4,7.0%,4,7.0%
TB,0-2,20,-9.1%,20,-9.1%,29,-34.1%,29,-34.1%,5,-21.6%,5,-21.6%,9,3.3%,9,3.3%
CAR,0-2,21,-10.7%,21,-10.7%,17,2.4%,17,2.4%,25,9.8%,25,9.8%,22,-3.2%,22,-3.2%
ARI,1-1,22,-11.2%,22,-11.2%,22,-10.4%,22,-10.4%,14,-4.4%,14,-4.4%,24,-5.2%,24,-5.2%
NYJ,1-1,23,-11.9%,23,-11.9%,31,-39.4%,31,-39.4%,3,-24.8%,3,-24.8%,12,2.7%,12,2.7%
OAK,1-1,24,-14.1%,24,-14.1%,18,-0.6%,18,-0.6%,19,3.1%,19,3.1%,29,-10.3%,29,-10.3%
MIN,0-2,25,-22.2%,25,-22.2%,23,-14.3%,23,-14.3%,24,6.7%,24,6.7%,17,-1.2%,17,-1.2%
PIT,0-2,26,-22.9%,26,-22.9%,28,-21.9%,28,-21.9%,21,3.7%,21,3.7%,11,2.7%,11,2.7%
BAL,1-1,27,-32.7%,27,-32.7%,20,-8.2%,20,-8.2%,27,15.3%,27,15.3%,27,-9.3%,27,-9.3%
SF,1-1,28,-33.9%,28,-33.9%,21,-10.0%,21,-10.0%,28,15.3%,28,15.3%,26,-8.6%,26,-8.6%
NYG,0-2,29,-37.5%,29,-37.5%,25,-15.2%,25,-15.2%,23,6.4%,23,6.4%,32,-15.8%,32,-15.8%
CLE,0-2,30,-40.2%,30,-40.2%,30,-37.4%,30,-37.4%,15,-4.1%,15,-4.1%,25,-6.9%,25,-6.9%
WAS,0-2,31,-49.1%,31,-49.1%,6,16.1%,6,16.1%,32,55.1%,32,55.1%,28,-10.1%,28,-10.1%
JAX,0-2,32,-78.2%,32,-78.2%,32,-68.1%,32,-68.1%,22,5.7%,22,5.7%,23,-4.4%,23,-4.4%
