Date,Home Team,Away Team,Home Score,Away Score,Playoff Game?,Home Odds Open,Away Odds Open,Home Line Open,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,,
2021-02-07,TB,KC,31,9,Y,2.55,1.57,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,KC,BUF,38,24,Y,1.66,2.30,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,GB,TB,26,31,Y,1.50,2.70,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,NO,TB,20,30,Y,1.52,2.67,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,KC,CLE,22,17,Y,1.20,4.75,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,BUF,BAL,17,3,Y,1.66,2.30,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,GB,LAR,32,18,Y,1.29,3.70,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,PIT,CLE,37,48,Y,1.50,2.70,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,NO,CHI,21,9,Y,1.22,4.50,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,TEN,BAL,13,20,Y,2.65,1.54,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,WAS,TB,23,31,Y,3.90,1.27,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SEA,LAR,20,30,Y,1.47,2.75,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,BUF,IND,27,24,Y,1.32,3.45,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,PHI,WAS,14,20,,1.86,1.95,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CHI,GB,16,35,,3.20,1.37,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,DEN,LAS,31,32,,1.90,1.90,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
