Date, Team,Opponent, Score,Opponent Score,Playoff Game?,Home, Odds Open, Line Open
2020 playoffs,TB,KC,31,9,Y,y,2.55,3.50
2020 playoffs,KC,BUF,38,24,Y,y,1.66,-2.50
2020 playoffs,GB,TB,26,31,Y,y,1.50,-4.00
2020 playoffs,NO,TB,20,30,Y,y,1.52,-3.50
2020 playoffs,KC,CLE,22,17,Y,y,1.20,-10.00
2020 playoffs,BUF,BAL,17,3,Y,y,1.66,-3.00
2020 playoffs,GB,LAR,32,18,Y,y,1.29,-7.00
2020 playoffs,PIT,CLE,37,48,Y,y,1.50,-3.50
2020 playoffs,NO,CHI,21,9,Y,y,1.22,-9.50
2020 playoffs,TEN,BAL,13,20,Y,y,2.65,3.50
2020 playoffs,WAS,TB,23,31,Y,y,3.90,7.50
2020 playoffs,SEA,LAR,20,30,Y,y,1.47,-4.50
2020 playoffs,BUF,IND,27,24,Y,y,1.32,-6.50
2020 Week 17,PHI,WAS,14,20,N,y,1.86,-1.00
2020 Week 17,CHI,GB,16,35,N,y,3.20,4.00
2020 Week 17,DEN,LV,31,32,N,y,1.90,-1.00
2020 Week 17,KC,LAC,21,38,N,y,2.65,3.50
2020 Week 17,LAR,ARI,18,7,N,y,1.83,-1.00
2020 Week 17,SF,SEA,23,26,N,y,2.70,4.00
2020 Week 17,BUF,MIA,56,26,N,y,1.57,-3.50
2020 Week 17,CAR,NO,7,33,N,y,3.30,5.50
2020 Week 17,CIN,BAL,3,38,N,y,6.00,11.50
2020 Week 17,CLE,PIT,24,22,N,y,1.33,-7.00
2020 Week 17,DET,MIN,35,37,N,y,3.25,6.50
2020 Week 17,HOU,TEN,38,41,N,y,4.10,7.00
2020 Week 17,IND,JAX,28,14,N,y,1.09,-13.50
2020 Week 17,NE,NYJ,28,14,N,y,1.57,-3.00
2020 Week 17,NYG,DAL,23,19,N,y,2.25,2.50
2020 Week 17,TB,ATL,44,27,N,y,1.33,-6.00
2020 Week 16,NE,BUF,9,38,N,y,3.40,6.50
2020 Week 16,GB,TEN,40,14,N,y,1.50,-4.00
2020 Week 16,DAL,PHI,37,17,N,y,2.00,1.00
2020 Week 16,LAC,DEN,19,16,N,y,1.55,-3.00
2020 Week 16,SEA,LAR,20,9,N,y,1.74,-2.50
2020 Week 16,BAL,NYG,27,13,N,y,1.16,-12.50
2020 Week 16,HOU,CIN,31,37,N,y,1.23,-9.00
2020 Week 16,JAX,CHI,17,41,N,y,3.70,7.50
2020 Week 16,KC,ATL,17,14,N,y,1.22,-11.00
2020 Week 16,NYJ,CLE,23,16,N,y,4.75,9.50
2020 Week 16,PIT,IND,28,24,N,y,1.71,-2.50
2020 Week 16,WAS,CAR,13,20,N,y,1.76,-2.00
2020 Week 16,LV,MIA,25,26,N,y,2.20,2.00
2020 Week 16,ARI,SF,12,20,N,y,1.47,-4.00
2020 Week 16,DET,TB,7,47,N,y,3.80,7.00
2020 Week 16,NO,MIN,52,33,N,y,1.31,-7.00
2020 Week 15,CIN,PIT,27,17,N,y,8.00,13.00
2020 Week 15,NYG,CLE,6,20,N,y,2.65,3.50
2020 Week 15,NO,KC,29,32,N,y,2.75,4.00
2020 Week 15,ARI,PHI,33,26,N,y,1.40,-5.50
2020 Week 15,LAR,NYJ,20,23,N,y,1.06,-16.50
2020 Week 15,ATL,TB,27,31,N,y,2.85,4.00
2020 Week 15,BAL,JAX,40,14,N,y,1.09,-13.00
2020 Week 15,DAL,SF,41,33,N,y,2.05,2.00
2020 Week 15,IND,HOU,27,20,N,y,1.30,-7.00
2020 Week 15,MIA,NE,22,12,N,y,1.74,-3.00
2020 Week 15,MIN,CHI,27,33,N,y,1.54,-3.00
2020 Week 15,TEN,DET,46,25,N,y,1.16,-10.50
2020 Week 15,WAS,SEA,15,20,N,y,3.00,5.00
2020 Week 15,GB,CAR,24,16,N,y,1.25,-9.00
2020 Week 15,DEN,BUF,19,48,N,y,2.85,4.50
2020 Week 15,LV,LAC,27,30,N,y,1.60,-3.00
2020 Week 14,CLE,BAL,42,47,N,y,1.95,1.00
2020 Week 14,BUF,PIT,26,15,N,y,2.05,2.00
2020 Week 14,LAC,ATL,20,17,N,y,2.20,2.50
2020 Week 14,PHI,NO,24,21,N,y,3.60,7.00
2020 Week 14,SF,WAS,15,23,N,y,1.45,-4.50
2020 Week 14,LV,IND,27,44,N,y,2.25,2.50
2020 Week 14,SEA,NYJ,40,3,N,y,1.15,-13.50
2020 Week 14,CAR,DEN,27,32,N,y,1.52,-3.50
2020 Week 14,CHI,HOU,36,7,N,y,2.10,2.50
2020 Week 14,CIN,DAL,7,30,N,y,2.65,4.00
2020 Week 14,DET,GB,24,31,N,y,4.25,8.00
2020 Week 14,JAX,TEN,10,31,N,y,3.75,7.00
2020 Week 14,MIA,KC,27,33,N,y,3.90,7.50
2020 Week 14,NYG,ARI,7,26,N,y,2.20,2.50
2020 Week 14,TB,MIN,26,14,N,y,1.35,-6.50
2020 Week 14,LAR,NE,24,3,N,y,1.37,-6.50
2020 Week 13,BAL,DAL,34,17,N,y,1.27,-7.50
2020 Week 13,SF,BUF,24,34,N,y,2.35,3.00
2020 Week 13,PIT,WAS,17,23,N,y,1.22,-8.50
2020 Week 13,KC,DEN,22,16,N,y,1.12,-13.00
2020 Week 13,GB,PHI,30,16,N,y,1.23,-9.50
2020 Week 13,LAC,NE,0,45,N,y,1.80,-1.00
2020 Week 13,ARI,LAR,28,38,N,y,2.10,1.50
2020 Week 13,SEA,NYG,12,17,N,y,1.19,-10.00
2020 Week 13,ATL,NO,16,21,N,y,2.67,3.00
2020 Week 13,CHI,DET,30,34,N,y,1.58,-3.00
2020 Week 13,HOU,IND,20,26,N,y,2.35,2.50
2020 Week 13,MIA,CIN,19,7,N,y,1.19,-11.50
2020 Week 13,MIN,JAX,27,24,N,y,1.23,-9.00
2020 Week 13,NYJ,LV,28,31,N,y,3.90,7.50
2020 Week 13,TEN,CLE,35,41,N,y,1.45,-4.00
2020 Week 13,PIT,BAL,19,14,N,y,1.57,-3.50
2020 Week 12,PHI,SEA,17,23,N,y,3.10,5.00
2020 Week 12,GB,CHI,41,25,N,y,1.23,-8.50
2020 Week 12,TB,KC,24,27,N,y,2.67,3.50
2020 Week 12,DEN,NO,3,31,N,y,3.15,6.00
2020 Week 12,LAR,SF,20,23,N,y,1.31,-7.00
2020 Week 12,ATL,LV,43,6,N,y,2.40,3.00
2020 Week 12,BUF,LAC,27,17,N,y,1.40,-5.50
2020 Week 12,CIN,NYG,17,19,N,y,2.95,4.00
2020 Week 12,IND,TEN,26,45,N,y,1.50,-4.00
2020 Week 12,JAX,CLE,25,27,N,y,3.30,6.50
2020 Week 12,MIN,CAR,28,27,N,y,1.44,-4.50
2020 Week 12,NE,ARI,20,17,N,y,2.20,2.50
2020 Week 12,NYJ,MIA,3,20,N,y,3.45,7.00
2020 Week 12,DAL,WAS,16,41,N,y,1.66,-3.00
2020 Week 12,DET,HOU,25,41,N,y,2.10,2.50
2020 Week 11,TB,LAR,24,27,N,y,1.55,-3.50
2020 Week 11,LV,KC,31,35,N,y,3.65,7.00
2020 Week 11,IND,GB,34,31,N,y,1.80,-2.00
2020 Week 11,MIN,DAL,28,31,N,y,1.28,-7.00
2020 Week 11,DEN,MIA,20,13,N,y,2.30,2.50
2020 Week 11,LAC,NYJ,34,28,N,y,1.25,-10.00
2020 Week 11,BAL,TEN,24,30,N,y,1.34,-6.50
2020 Week 11,CAR,DET,20,0,N,y,2.05,1.50
2020 Week 11,CLE,PHI,22,17,N,y,1.54,-3.00
2020 Week 11,HOU,NE,27,20,N,y,2.20,2.50
2020 Week 11,JAX,PIT,3,27,N,y,4.50,10.00
2020 Week 11,NO,ATL,24,9,N,y,1.43,-5.00
2020 Week 11,WAS,CIN,20,9,N,y,1.83,-1.00
2020 Week 11,SEA,ARI,28,21,N,y,1.52,-3.50
2020 Week 10,CHI,MIN,13,19,N,y,2.25,2.50
2020 Week 10,NE,BAL,23,17,N,y,3.55,6.50
2020 Week 10,LAR,SEA,23,16,N,y,1.83,-1.00
2020 Week 10,NO,SF,27,13,N,y,1.23,-9.50
2020 Week 10,ARI,BUF,32,30,N,y,1.80,-2.00
2020 Week 10,LV,DEN,37,12,N,y,1.45,-4.50
2020 Week 10,MIA,LAC,29,21,N,y,1.71,-2.50
2020 Week 10,CAR,TB,23,46,N,y,3.15,6.00
2020 Week 10,CLE,HOU,10,7,N,y,1.66,-2.50
2020 Week 10,DET,WAS,30,27,N,y,1.57,-3.00
2020 Week 10,GB,JAX,24,20,N,y,1.10,-13.50
2020 Week 10,NYG,PHI,27,17,N,y,2.40,3.00
2020 Week 10,PIT,CIN,36,10,N,y,1.25,-9.00
2020 Week 10,TEN,IND,17,34,N,y,1.74,-2.50
2020 Week 9,NYJ,NE,27,30,N,y,3.70,7.00
2020 Week 9,TB,NO,3,38,N,y,1.41,-5.50
2020 Week 9,ARI,MIA,31,34,N,y,1.47,-5.00
2020 Week 9,DAL,PIT,19,24,N,y,6.50,13.50
2020 Week 9,LAC,LV,26,31,N,y,1.83,-1.50
2020 Week 9,ATL,DEN,34,27,N,y,1.50,-4.00
2020 Week 9,BUF,SEA,44,34,N,y,2.30,2.50
2020 Week 9,IND,BAL,10,24,N,y,2.20,2.50
2020 Week 9,JAX,HOU,25,27,N,y,3.45,6.50
2020 Week 9,KC,CAR,33,31,N,y,1.18,-10.50
2020 Week 9,MIN,DET,34,20,N,y,1.50,-4.00
2020 Week 9,TEN,CHI,24,17,N,y,1.40,-5.50
2020 Week 9,WAS,NYG,20,23,N,y,1.60,-3.00
2020 Week 9,SF,GB,17,34,N,y,3.05,5.50
2019 Playoffs,KC,SF,31,20,Y,y,1.80,-1.50
2019 Playoffs,SF,GB,37,20,Y,y,1.31,-7.00
2019 Playoffs,KC,TEN,35,24,Y,y,1.29,-7.50
2019 Playoffs,GB,SEA,28,23,Y,y,1.52,-3.50
2019 Playoffs,KC,HOU,51,31,Y,y,1.27,-8.00
2019 Playoffs,BAL,TEN,12,28,Y,y,1.22,-10.00
2019 Playoffs,SF,MIN,27,10,Y,y,1.33,-6.50
2019 Playoffs,PHI,SEA,9,17,Y,y,2.00,1.00
2019 Playoffs,NO,MIN,20,26,Y,y,1.33,-6.50
2019 Playoffs,NE,TEN,13,20,Y,y,1.45,-5.50
2019 Playoffs,HOU,BUF,22,19,Y,y,1.50,-3.50
2019 Week 17,SEA,SF,21,26,N,y,2.30,3.00
2019 Week 17,DEN,OAK,16,15,N,y,1.52,-3.50
2019 Week 17,LAR,ARI,31,24,N,y,1.29,-7.00
2019 Week 17,BAL,PIT,28,10,N,y,1.83,-1.00
2019 Week 17,BUF,NYJ,6,13,N,y,1.86,-1.00
2019 Week 17,CAR,NO,10,42,N,y,5.50,13.00
2019 Week 17,CIN,CLE,33,23,N,y,2.35,2.50
2019 Week 17,DAL,WAS,47,16,N,y,1.20,-10.50
2019 Week 17,DET,GB,20,23,N,y,4.75,10.00
2019 Week 17,HOU,TEN,14,35,N,y,2.80,4.00
2019 Week 17,JAX,IND,38,20,N,y,1.90,3.00
2019 Week 17,KC,LAC,31,21,N,y,1.28,-7.50
2019 Week 17,MIN,CHI,19,21,N,y,1.83,-1.00
2019 Week 17,NE,MIA,24,27,N,y,1.07,-16.50
2019 Week 17,NYG,PHI,17,34,N,y,2.85,4.50
2019 Week 17,TB,ATL,22,28,N,y,1.90,1.00
2019 Week 16,MIN,GB,10,23,N,y,1.50,-4.00
2019 Week 16,CHI,KC,3,26,N,y,2.85,4.50
2019 Week 16,PHI,DAL,17,9,N,y,2.25,2.50
2019 Week 16,SEA,ARI,13,27,N,y,1.23,-9.50
2019 Week 16,DEN,DET,27,17,N,y,1.34,-6.50
2019 Week 16,LAC,OAK,17,24,N,y,1.41,-5.50
2019 Week 16,ATL,JAX,24,12,N,y,1.30,-7.00
2019 Week 16,CLE,BAL,15,31,N,y,4.75,9.50
2019 Week 16,IND,CAR,38,6,N,y,1.37,-6.50
2019 Week 16,MIA,CIN,38,35,N,y,1.86,-1.00
