Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA,Weighted DVOA,Offense DVOA,Offense Weighted DVOA,Defense DVOA,Defense Weighted DVOA,Special Teams DVOA,Special Teams Weighted DVOA,OffenseDVOA,Offense WeightedDVOA,PassOffense,RushOffense,DefenseDVOA,Defense WeightedDVOA,PassDefense,RushDefense,Opponent Win %,Opponent Total DVOA,Opponent Weighted DVOA,Opponent Offense DVOA,Opponent Offense Weighted DVOA,Opponent Defense DVOA,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA,Opponent Offense WeightedDVOA,Opponent PassOffense,Opponent RushOffense,Opponent DefenseDVOA,Opponent Defense WeightedDVOA,Opponent PassDefense,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties,Cover?
2020 playoffs,TB,KC,31,9,Y,Y,2.55,3.5,0.6875,0.316,0.336,0.198,0.246,-0.146,-0.12,-0.029,-0.03,0.198,0.246,0.371,-0.02,-0.146,-0.12,-0.054,-0.314,0.875,0.195,0.194,0.239,0.234,0.049,0.067,0.005,0.026,0.239,0.234,0.49,-0.056,4.9,0.067,6.7,0.026,11,5,,14,2,,Yes
2020 playoffs,KC,BUF,38,24,Y,Y,1.66,-2.5,0.875,0.195,0.194,0.239,0.234,0.049,0.067,0.005,0.026,0.239,0.234,0.49,-0.056,0.049,0.067,0.067,0.026,0.8125,0.238,0.345,0.156,0.178,-0.023,-0.08,0.059,0.087,0.156,0.178,0.433,-0.15,-2.3,-0.08,2.2,-0.082,14,2,,13,3,,Yes
2020 playoffs,GB,TB,26,31,Y,Y,1.5,-4,0.8125,0.259,0.314,0.291,0.316,0.005,-0.035,-0.027,-0.038,0.291,0.316,0.52,0.03,0.005,-0.035,0.051,-0.057,0.6875,0.316,0.336,0.198,0.246,-0.146,-0.12,-0.029,-0.03,0.198,0.246,0.371,-0.02,-14.6,-0.12,-5.4,-0.314,13,3,,11,5,,No
2020 playoffs,NO,TB,20,30,Y,Y,1.52,-3.5,0.75,0.333,0.343,0.107,0.094,-0.19,-0.217,0.036,0.032,0.107,0.094,0.166,0.095,-0.19,-0.217,-0.147,-0.256,0.6875,0.316,0.336,0.198,0.246,-0.146,-0.12,-0.029,-0.03,0.198,0.246,0.371,-0.02,-14.6,-0.12,-5.4,-0.314,12,4,,11,5,,No
2020 playoffs,KC,CLE,22,17,Y,Y,1.2,-10,0.875,0.195,0.194,0.239,0.234,0.049,0.067,0.005,0.026,0.239,0.234,0.49,-0.056,0.049,0.067,0.067,0.026,0.6875,-0.056,-0.007,0.054,0.082,0.074,0.07,-0.037,-0.019,0.054,0.082,0.209,-0.008,7.4,0.07,16.4,-0.054,14,2,,11,5,,No
2020 playoffs,BUF,BAL,17,3,Y,Y,1.66,-3,0.8125,0.238,0.345,0.156,0.178,-0.023,-0.08,0.059,0.087,0.156,0.178,0.433,-0.15,-0.023,-0.08,0.022,-0.082,0.6875,0.186,0.157,0.043,0.072,-0.069,-0.026,0.074,0.059,0.043,0.072,0.14,0.06,-6.9,-0.026,0.4,-0.185,13,3,,11,5,,Yes
2020 playoffs,GB,LAR,32,18,Y,Y,1.29,-7,0.8125,0.259,0.314,0.291,0.316,0.005,-0.035,-0.027,-0.038,0.291,0.316,0.52,0.03,0.005,-0.035,0.051,-0.057,0.625,0.154,0.142,0.044,-0.048,-0.17,-0.242,-0.059,-0.052,0.044,-0.048,0.124,0.035,-17,-0.242,-12,-0.241,13,3,,10,6,,Yes
2020 playoffs,PIT,CLE,37,48,Y,Y,1.5,-3.5,0.75,0.168,0.135,-0.047,-0.079,-0.202,-0.2,0.014,0.014,-0.047,-0.079,0.113,-0.262,-0.202,-0.2,-0.198,-0.207,0.6875,-0.056,-0.007,0.054,0.082,0.074,0.07,-0.037,-0.019,0.054,0.082,0.209,-0.008,7.4,0.07,16.4,-0.054,12,4,,11,5,,No
2020 playoffs,NO,CHI,21,9,Y,Y,1.22,-9.5,0.75,0.333,0.343,0.107,0.094,-0.19,-0.217,0.036,0.032,0.107,0.094,0.166,0.095,-0.19,-0.217,-0.147,-0.256,0.5,-0.005,0.018,-0.106,-0.067,-0.075,-0.038,0.026,0.047,-0.106,-0.067,0.016,-0.183,-7.5,-0.038,3.4,-0.225,12,4,,8,8,,Yes
2020 playoffs,TEN,BAL,13,20,Y,Y,2.65,3.5,0.6875,0.029,0.043,0.184,0.191,0.111,0.122,-0.044,-0.026,0.184,0.191,0.395,0.061,0.111,0.122,0.253,-0.096,0.6875,0.186,0.157,0.043,0.072,-0.069,-0.026,0.074,0.059,0.043,0.072,0.14,0.06,-6.9,-0.026,0.4,-0.185,11,5,,11,5,,No
