Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense,Opponent Win %,Opponent Total DVOA Rank,Opponent Total DVOA,Opponent Weighted DVOA Rank,Opponent Weighted DVOA,Opponent Offense DVOA Rank,Opponent Offense DVOA,Opponent Offense Weighted DVOA Rank,Opponent Offense Weighted DVOA,Opponent Defense DVOA Rank,Opponent Defense DVOA,Opponent Defense Weighted DVOA Rank,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA Rank,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA Rank,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA Rank,Opponent OffenseDVOA,Opponent Offense WeightedDVOA Rank,Opponent Offense WeightedDVOA,Opponent PassOffense Rank,Opponent PassOffense,Opponent RushOffense Rank,Opponent RushOffense,Opponent DefenseDVOA Rank,Opponent DefenseDVOA,Opponent Defense WeightedDVOA Rank,Opponent Defense WeightedDVOA,Opponent PassDefense Rank,Opponent PassDefense,Opponent RushDefense Rank,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties
2020 playoffs,TB,KC,31,9,Y,Y,2.55,3.5,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-0.146,6,-0.12,5,-0.054,1,-0.314,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,4.9,24,0.067,16,6.7,31,0.026,11,5,,14,2,
2020 playoffs,KC,BUF,38,24,,Y,1.66,-2.5,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,0.049,24,0.067,16,0.067,31,0.026,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-2.3,8,-0.08,12,2.2,17,-0.082,14,2,,13,3,
2020 playoffs,GB,TB,26,31,,Y,1.5,-4,0.8125,3,0.259,4,0.314,1,0.291,1,0.316,17,0.005,14,-0.035,25,-0.027,28,-0.038,1,0.291,1,0.316,1,0.52,5,0.03,17,0.005,14,-0.035,15,0.051,18,-0.057,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-14.6,6,-0.12,5,-5.4,1,-0.314,13,3,,11,5,
2020 playoffs,NO,TB,20,30,,Y,1.52,-3.5,0.75,1,0.333,2,0.343,7,0.107,7,0.094,2,-0.19,2,-0.217,5,0.036,8,0.032,7,0.107,7,0.094,12,0.166,1,0.095,2,-0.19,2,-0.217,3,-0.147,2,-0.256,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-14.6,6,-0.12,5,-5.4,1,-0.314,12,4,,11,5,
2020 playoffs,KC,CLE,22,17,,Y,1.2,-10,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,0.049,24,0.067,16,0.067,31,0.026,0.6875,18,-0.056,18,-0.007,9,0.054,8,0.082,25,0.074,25,0.07,27,-0.037,23,-0.019,9,0.054,8,0.082,10,0.209,7,-0.008,25,7.4,25,0.07,25,16.4,19,-0.054,14,2,,11,5,
2020 playoffs,BUF,BAL,17,3,,Y,1.66,-3,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-0.023,8,-0.08,12,0.022,17,-0.082,0.6875,7,0.186,7,0.157,11,0.043,9,0.072,9,-0.069,15,-0.026,2,0.074,4,0.059,11,0.043,9,0.072,17,0.14,3,0.06,9,-6.9,15,-0.026,10,0.4,12,-0.185,13,3,,11,5,
2020 playoffs,GB,LAR,32,18,,Y,1.29,-7,0.8125,3,0.259,4,0.314,1,0.291,1,0.316,17,0.005,14,-0.035,25,-0.027,28,-0.038,1,0.291,1,0.316,1,0.52,5,0.03,17,0.005,14,-0.035,15,0.051,18,-0.057,0.625,9,0.154,8,0.142,10,0.044,17,-0.048,4,-0.17,1,-0.242,30,-0.059,29,-0.052,10,0.044,17,-0.048,20,0.124,4,0.035,4,-17,1,-0.242,4,-12,3,-0.241,13,3,,10,6,
2020 playoffs,PIT,CLE,37,48,,Y,1.5,-3.5,0.75,8,0.168,10,0.135,22,-0.047,22,-0.079,1,-0.202,4,-0.2,14,0.014,14,0.014,22,-0.047,22,-0.079,21,0.113,30,-0.262,1,-0.202,4,-0.2,1,-0.198,5,-0.207,0.6875,18,-0.056,18,-0.007,9,0.054,8,0.082,25,0.074,25,0.07,27,-0.037,23,-0.019,9,0.054,8,0.082,10,0.209,7,-0.008,25,7.4,25,0.07,25,16.4,19,-0.054,12,4,,11,5,
2020 playoffs,NO,CHI,21,9,,Y,1.22,-9.5,0.75,1,0.333,2,0.343,7,0.107,7,0.094,2,-0.19,2,-0.217,5,0.036,8,0.032,7,0.107,7,0.094,12,0.166,1,0.095,2,-0.19,2,-0.217,3,-0.147,2,-0.256,0.5,15,-0.005,15,0.018,25,-0.106,21,-0.067,8,-0.075,13,-0.038,8,0.026,6,0.047,25,-0.106,21,-0.067,23,0.016,25,-0.183,8,-7.5,13,-0.038,13,3.4,4,-0.225,12,4,,8,8,
2020 playoffs,TEN,BAL,13,20,,Y,2.65,3.5,0.6875,14,0.029,12,0.043,4,0.184,4,0.191,29,0.111,29,0.122,28,-0.044,25,-0.026,4,0.184,4,0.191,4,0.395,2,0.061,29,0.111,29,0.122,30,0.253,16,-0.096,0.6875,7,0.186,7,0.157,11,0.043,9,0.072,9,-0.069,15,-0.026,2,0.074,4,0.059,11,0.043,9,0.072,17,0.14,3,0.06,9,-6.9,15,-0.026,10,0.4,12,-0.185,11,5,,11,5,
